username,repo_name,stars,repo_url
mrdoob,three.js,85600,https://github.com/mrdoob/three.js
libgdx,libgdx,20500,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,19700,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,18400,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,14700,https://github.com/ssloy/tinyrenderer
aframevr,aframe,14600,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,13700,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,12200,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9400,https://github.com/metafizzy/zdog
CesiumGS,cesium,9300,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8400,https://github.com/timzhang642/3D-Machine-Learning
isl-org,Open3D,7400,https://github.com/isl-org/Open3D
a1studmuffin,SpaceshipGenerator,7200,https://github.com/a1studmuffin/SpaceshipGenerator
blender,blender,6700,https://github.com/blender/blender
domlysz,BlenderGIS,5600,https://github.com/domlysz/BlenderGIS
openscad,openscad,5000,https://github.com/openscad/openscad
spritejs,spritejs,5000,https://github.com/spritejs/spritejs
google,model-viewer,4800,https://github.com/google/model-viewer
jagenjo,webglstudio.js,4700,https://github.com/jagenjo/webglstudio.js
tensorspace-team,tensorspace,4700,https://github.com/tensorspace-team/tensorspace
