username,repo_name,stars,repo_url
localstack,localstack,43700,https://github.com/localstack/localstack
serverless,serverless,43500,https://github.com/serverless/serverless
bregman-arie,devops-exercises,30500,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23800,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13800,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13100,https://github.com/ramitsurana/awesome-kubernetes
kubernetes-sigs,kubespray,12900,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,12900,https://github.com/aws/aws-cli
mozilla,sops,10800,https://github.com/mozilla/sops
donnemartin,awesome-aws,10700,https://github.com/donnemartin/awesome-aws
apereo,cas,9700,https://github.com/apereo/cas
aws,aws-cdk,9300,https://github.com/aws/aws-cdk
caprover,caprover,9300,https://github.com/caprover/caprover
aws,chalice,9200,https://github.com/aws/chalice
serverless-stack,sst,8900,https://github.com/serverless-stack/sst
aws-amplify,amplify-js,8900,https://github.com/aws-amplify/amplify-js
aws,serverless-application-model,8700,https://github.com/aws/serverless-application-model
angristan,openvpn-install,8700,https://github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8700,https://github.com/GoogleCloudPlatform/terraformer
apex,up,8600,https://github.com/apex/up
