username,repo_name,stars,repo_url
amphp,amp,3700,https://github.com/amphp/amp
danog,MadelineProto,2100,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,734,https://github.com/unreal4u/telegram-api
amphp,http-client,627,https://github.com/amphp/http-client
amphp,parallel,602,https://github.com/amphp/parallel
php-service-bus,service-bus,331,https://github.com/php-service-bus/service-bus
amphp,byte-stream,303,https://github.com/amphp/byte-stream
amphp,mysql,286,https://github.com/amphp/mysql
amphp,parallel-functions,233,https://github.com/amphp/parallel-functions
amphp,process,189,https://github.com/amphp/process
amphp,socket,168,https://github.com/amphp/socket
amphp,redis,132,https://github.com/amphp/redis
amphp,dns,123,https://github.com/amphp/dns
amphp,sync,117,https://github.com/amphp/sync
kelunik,acme,115,https://github.com/kelunik/acme
amphp,websocket-client,108,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,84,https://github.com/amphp/websocket-server
amphp,serialization,82,https://github.com/amphp/serialization
