username,repo_name,stars,repo_url
arendst,Tasmota,18400,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13800,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,13200,https://github.com/arduino/Arduino
rwaldron,johnny-five,12800,https://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11600,https://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10500,https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9400,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7900,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7800,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6100,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5800,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5400,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3700,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3600,https://github.com/arduino/arduino-cli
blynkkk,blynk-library,3500,https://github.com/blynkkk/blynk-library
olikraus,u8g2,3300,https://github.com/olikraus/u8g2
NectarJS,nectarjs,3300,https://github.com/NectarJS/nectarjs
ClemensElflein,OpenMower,3300,https://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2900,https://github.com/Serial-Studio/Serial-Studio
