username,repo_name,stars,repo_url
babel,babel,41400,https://github.com/babel/babel
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
swc-project,swc,24000,https://github.com/swc-project/swc
kriasoft,react-starter-kit,21500,https://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,20200,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20000,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15100,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14600,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11300,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,8000,https://github.com/grommet/grommet
developit,htm,7900,https://github.com/developit/htm
ben-rogerson,twin.macro,6300,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5600,https://github.com/documentationjs/documentation
insin,nwb,5500,https://github.com/insin/nwb
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5300,https://github.com/egoist/poi
fkling,astexplorer,5000,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,4700,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4700,https://github.com/babel/babel-loader
