username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,111000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,61100,https://github.com/nvm-sh/nvm
junegunn,fzf,47200,https://github.com/junegunn/fzf
google,zx,34200,https://github.com/google/zx
dylanaraps,pure-bash-bible,31800,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,30700,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,30000,https://github.com/koalaman/shellcheck
starship,starship,28800,https://github.com/starship/starship
mathiasbynens,dotfiles,28300,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,28200,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24900,https://github.com/alebcay/awesome-shell
withfig,autocomplete,20100,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,19800,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,16200,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15800,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14400,https://github.com/rbenv/rbenv
powerline,powerline,13500,https://github.com/powerline/powerline
shelljs,shelljs,13500,https://github.com/shelljs/shelljs
Bash-it,bash-it,13200,https://github.com/Bash-it/bash-it
faressoft,terminalizer,13000,https://github.com/faressoft/terminalizer
