username,repo_name,stars,repo_url
bitcoin,bitcoin,66300,https://github.com/bitcoin/bitcoin
ccxt,ccxt,25800,https://github.com/ccxt/ccxt
freqtrade,freqtrade,19300,https://github.com/freqtrade/freqtrade
HelloZeroNet,ZeroNet,17600,https://github.com/HelloZeroNet/ZeroNet
askmike,gekko,9900,https://github.com/askmike/gekko
solana-labs,solana,9500,https://github.com/solana-labs/solana
bbfamily,abu,9300,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7100,https://github.com/lbryio/lbry-sdk
dvf,blockchain,7100,https://github.com/dvf/blockchain
lightningnetwork,lnd,6300,https://github.com/lightningnetwork/lnd
yeasy,blockchain_guide,6300,https://github.com/yeasy/blockchain_guide
spesmilo,electrum,5900,https://github.com/spesmilo/electrum
butor,blackbird,5600,https://github.com/butor/blackbird
btcsuite,btcd,4900,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4700,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4400,https://github.com/bitcoinj/bitcoinj
jesse-ai,jesse,4200,https://github.com/jesse-ai/jesse
CryptoSignal,Crypto-Signal,4100,https://github.com/CryptoSignal/Crypto-Signal
bisq-network,bisq,4100,https://github.com/bisq-network/bisq
coinpride,CryptoList,3800,https://github.com/coinpride/CryptoList
