username,repo_name,stars,repo_url
CyC2018,CS-Notes,157000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,78300,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49400,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,40500,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39100,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,32000,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,27800,https://github.com/carbon-language/carbon-lang
huihut,interview,26000,https://github.com/huihut/interview
microsoft,calculator,25700,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,25000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,21800,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,21000,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18800,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18300,https://github.com/ethereum/solidity
doocs,leetcode,17700,https://github.com/doocs/leetcode
microsoft,vcpkg,16800,https://github.com/microsoft/vcpkg
gabime,spdlog,15700,https://github.com/gabime/spdlog
catchorg,Catch2,15600,https://github.com/catchorg/Catch2
AnthonyCalandra,modern-cpp-features,14900,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14700,https://github.com/ssloy/tinyrenderer
