username,repo_name,stars,repo_url
metabase,metabase,29800,https://github.com/metabase/metabase
penpot,penpot,16900,https://github.com/penpot/penpot
logseq,logseq,16800,https://github.com/logseq/logseq
deeplearning4j,deeplearning4j,12600,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,8900,https://github.com/kanaka/mal
lk-geimfari,awesomo,8600,https://github.com/lk-geimfari/awesomo
tonsky,datascript,4900,https://github.com/tonsky/datascript
reagent-project,reagent,4500,https://github.com/reagent-project/reagent
riemann,riemann,4100,https://github.com/riemann/riemann
weavejester,compojure,4000,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3900,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3800,https://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,3500,https://github.com/status-im/status-mobile
ring-clojure,ring,3500,https://github.com/ring-clojure/ring
clojure-emacs,cider,3300,https://github.com/clojure-emacs/cider
viebel,klipse,3000,https://github.com/viebel/klipse
babashka,babashka,2900,https://github.com/babashka/babashka
tallesl,Rich-Hickey-fanclub,2900,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
