username,repo_name,stars,repo_url
realm,SwiftLint,16600,https://github.com/realm/SwiftLint
facebook,infer,13500,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,10300,https://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,8000,https://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7300,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,7200,https://github.com/SonarSource/sonarqube
facebook,pyre-check,6100,https://github.com/facebook/pyre-check
reviewdog,reviewdog,5600,https://github.com/reviewdog/reviewdog
detekt,detekt,4800,https://github.com/detekt/detekt
simplecov-ruby,simplecov,4500,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4300,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,4200,https://github.com/PyCQA/pylint
pmd,pmd,4000,https://github.com/pmd/pmd
phpro,grumphp,3800,https://github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3700,https://github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2900,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2800,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,https://github.com/wemake-services/wemake-python-styleguide
uber,piranha,2000,https://github.com/uber/piranha
