username,repo_name,stars,repo_url
vercel,next.js,93200,https://github.com/vercel/next.js
rust-lang,rust,72400,https://github.com/rust-lang/rust
sveltejs,svelte,62300,https://github.com/sveltejs/svelte
webpack,webpack,61800,https://github.com/webpack/webpack
gatsbyjs,gatsby,53600,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42700,https://github.com/JetBrains/kotlin
babel,babel,41400,https://github.com/babel/babel
parcel-bundler,parcel,41400,https://github.com/parcel-bundler/parcel
evanw,esbuild,33400,https://github.com/evanw/esbuild
vlang,v,30600,https://github.com/vlang/v
markedjs,marked,28400,https://github.com/markedjs/marked
carbon-language,carbon-lang,27800,https://github.com/carbon-language/carbon-lang
swc-project,swc,24000,https://github.com/swc-project/swc
vercel,pkg,22000,https://github.com/vercel/pkg
v8,v8,20200,https://github.com/v8/v8
ziglang,zig,17800,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14600,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13600,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13300,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,12200,https://github.com/RustPython/RustPython
